id,section,type,severity,remediation_risk,rr_axis,title,status,area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260706-112559-S2-S1,2,S,Low,Low,n/a,"Committed-secrets scan result: CLEAN (no secrets/PII)",completed,security,"gitleaks 0 leaks across 65 commits; builtin scanner 518 candidates all false-positive (508 high-entropy prose/hashes, 8 intentional author/test emails); saved secrets-scan.json",No committed secret or leaked PII found,"No remediation needed; result recorded",no,none,"repo history + tree","gitleaks detect (0 leaks); builtin triaged",none
20260706-112559-S2-B1,2,B,Low,Low,n/a,"scan_secrets.py does not skip workflow-artifacts/ or *-lock.json (avoidable FP noise)",identified,tooling,"SKIP_DIR_NAMES (scan_secrets.py:94) lacks workflow-artifacts; SKIP_EXTS has .lock but not -lock.json; 91 of 518 candidates were in workflow-artifacts/ (incl. its own prior scan.json), 49 in package-lock.json","Higher false-positive rate; scanner re-scans its own prior output on framework-using repos","Add workflow-artifacts to SKIP_DIR_NAMES and skip *-lock.json/*.lock.json generated lockfiles",no,"scan_secrets.py + a test","scan_secrets.py:94-107","re-run scanner; count drops; add self-test",Section 7
20260706-112559-S2-M1,2,M,Low,Low,n/a,"setup_tools.py lacks --version flag (inconsistent with the other 3 tools)",identified,tooling,"scan_secrets.py/run_checks.py/bench_env.py all have --version + _framework_version(); setup_tools.py main() (line 163) has only --format/--install","Minor inconsistency; a user cannot query the framework version from this tool","Add --version + _framework_version() matching the other tools",no,"setup_tools.py + a test","setup_tools.py:163-167","--version prints VERSION; add self-test",Section 7
20260706-112559-S2-M2,2,M,Low,Low,n/a,"scan_secrets.py computes shannon_entropy twice per high-entropy token",identified,tooling,"scan_secrets.py:204 (threshold check) and :209 (stored in extra) both call shannon_entropy(tok)","Trivial redundant compute; no correctness impact","Compute once into a local and reuse",no,scan_secrets.py,"scan_secrets.py:204-210","code reads once; tests still pass",Section 7
20260706-112559-S3-T1,3,T,Low,Low,n/a,"bench_env.capture_hpc() has no direct parse test (only diagnosis tested)",identified,tests,"test_bench_env.py tests diagnose() with a hand-built hpc dict (test_hpc_login_node_flagged) but capture_hpc() scheduler detection is not directly exercised","Low: detection is shutil.which-based; a regression in scheduler-name mapping would not be caught","Optional: add a test that monkeypatches which/env to assert schedulers/inside_allocation mapping",no,tests/test_bench_env.py,"tests/test_bench_env.py","new test passes",Section 7
20260706-112559-S3-T2,3,T,Low,Low,n/a,"verify/run_checks.py cannot auto-discover this repo's own test command",identified,tests,"run_checks.py --list discovers 0 checks; the test command lives only in CONTRIBUTING prose (python3 -m unittest discover -s tests -t .), not in package.json/Makefile/pyproject/tox/justfile that run_checks scans","The framework does not dogfood its own verify discovery; a user running /verify here sees 'no runnable checks'","Add a minimal Makefile (or pyproject [tool] entry) with a `test` target so verify discovers it; low RR",no,"Makefile (new) or pyproject","run_checks.py --list; verify discovers the test target","verify --list shows the test check",Section 7
20260706-112559-S4-D1,4,D,Medium,Low,n/a,"ARCHITECTURE.md file-tree says shims are 'one per command, 15' - now 16 after benchmark",identified,docs,"ARCHITECTURE.md:55 '.opencode/commands/ Generated OpenCode shims (one per command, 15)'; actual shim count is 16 (benchmark added, D41)","Stale count; a reader cross-checking is misled; violates P2 honest docs","Update 15 -> 16",no,ARCHITECTURE.md,"ARCHITECTURE.md:55; ls .opencode/commands | wc -l = 16","count matches",Section 7
20260706-112559-S4-D2,4,D,Medium,Low,n/a,"ARCHITECTURE.md says 'The three Python tools' + enumerates 3 - now four tools (bench_env added)",identified,docs,"ARCHITECTURE.md:374-375 'The three Python tools (scan_secrets.py, setup_tools.py, run_checks.py) have stdlib-unittest self-tests'; bench_env.py is a 4th tool with 16 tests, omitted","Stale count + incomplete enumeration; understates test coverage; violates P2","Update to four tools, add bench_env.py, mention its tests; also note the installer is tested",no,ARCHITECTURE.md,"ARCHITECTURE.md:374-379","enumeration matches ls tools + tests",Section 7
20260706-112559-S4-D3,4,D,Low,Low,n/a,"getting-started router omits a performance/benchmark goal",identified,docs,"getting-started.md:49-61 enumerates 13 goals for every core workflow EXCEPT benchmark; a user asking 'how do I measure performance' is not routed","Newcomer cannot discover the benchmark workflow via the tour (novice persona gap)","Add a route line: 'Measure/understand performance' -> benchmark",no,.agents/workflows/getting-started/getting-started.md,"getting-started.md:45-61","route present",Section 7
20260706-112559-S5-F1,5,F,Low,Medium,functionality,"benchmark workflow not yet exercised end-to-end on a real repo",identified,maturity,"D41 added benchmark this session; bench_env.py has 16 unit tests but the guided body (authoring benchmarks/, HPC submission, results bundle) has not been run against a live target repo","Low: the deterministic tool is tested; the guided prose flow is unproven in practice","Exercise /benchmark on a real repo (e.g. a CLI or an NFS-hosted project) before relying on it; this is validation, not a code fix - Remediation Risk of forcing a redesign now is Medium (functionality: premature changes without evidence)",no,none,"benchmark/benchmark.md","a live /benchmark run",Section 8 note / user action
